,City,Country,Lat,Lon,Tmax,% H,Cloudiness,Wind v,Date
311,Fortuna,US,40.5982,-124.1573,42.01,1,0,1.99,1614607663
312,Qax,AZ,41.4225,46.9242,46.4,57,90,6.91,1614607664
313,Byron Bay,AU,-28.65,153.6167,69.8,94,40,7.09,1614607666
314,Bandar-e Lengeh,IR,26.5579,54.8807,75.2,43,5,9.22,1614607667
315,Muroto-misakicho,JP,33.2833,134.15,62.78,83,98,18.14,1614607669
316,Tilichiki,RU,60.4667,166.1,-14.85,87,89,9.84,1614607670
317,Udachny,RU,66.4167,112.4,-40.05,79,89,3.0,1614607672
318,Romitan,UZ,39.9343,64.3814,62.6,22,0,6.87,1614607673
319,Ende,ID,-8.8432,121.6623,77.49,87,99,2.57,1614607674
320,Gizo Government Station,SB,-8.103,156.8419,82.8,78,100,10.51,1614607676
321,Orlik,RU,52.5178,99.825,-0.2,88,100,4.59,1614607677
322,Mizdah,LY,31.4451,12.9801,67.64,25,0,4.18,1614607678
323,Sitka,US,57.0531,-135.33,35.6,93,90,8.05,1614607679
324,Arbazh,RU,57.6804,48.3065,15.13,96,100,9.98,1614607681
325,Lázaro Cárdenas,MX,17.9583,-102.2,71.02,76,0,5.01,1614607683
326,Auki,SB,-8.7676,160.7034,74.8,90,100,6.22,1614607685
327,Matagami,CA,49.7502,-77.6328,-0.4,78,90,20.71,1614607686
328,El Jícaro,GT,14.9167,-89.9,77.0,78,20,0.72,1614607687
329,Lompoc,US,34.6391,-120.4579,45.0,75,1,3.44,1614607688
330,Okhotsk,RU,59.3833,143.3,2.26,89,100,6.93,1614607690
331,Berlevåg,NO,70.8578,29.0864,33.8,86,75,20.71,1614607691
332,San Isidro,PE,-12.1167,-77.05,78.8,73,0,4.61,1614607692
333,Severo-Kuril'sk,RU,50.6789,156.125,20.86,81,82,30.89,1614607693
334,Karatuzskoye,RU,53.6072,92.8667,20.53,96,100,4.92,1614607695
335,Malanje,AO,-9.5402,16.341,77.52,79,100,3.83,1614607696
336,Noril'sk,RU,69.3535,88.2027,-33.38,78,0,6.82,1614607690
337,Alyangula,AU,-13.8483,136.4192,86.25,59,100,11.7,1614607698
338,Talnakh,RU,69.4865,88.3972,-31.76,79,4,8.19,1614607700
339,Myski,RU,53.709,87.8014,29.1,96,100,12.77,1614607702
340,San Jose,US,37.3394,-121.895,48.99,49,1,4.23,1614606925
341,Salalah,OM,17.0151,54.0924,82.4,39,0,5.75,1614607705
342,Ariquemes,BR,-9.9133,-63.0408,75.42,94,100,3.85,1614607452
343,Half Moon Bay,US,37.4636,-122.4286,44.6,75,0,4.32,1614607707
344,Sechura,PE,-5.5569,-80.8222,78.55,59,65,4.72,1614607708
345,Wukari,NG,7.85,9.7833,105.91,7,11,8.5,1614607709
346,Esperance,AU,-33.8667,121.9,66.2,68,75,10.36,1614607711
347,Umarkhed,IN,19.6,77.7,85.75,20,8,4.34,1614607712
348,Sungai Raya,ID,0.7,108.9,79.03,81,27,8.05,1614607713
349,Puerto Colombia,CO,10.9878,-74.9547,78.8,69,0,13.8,1614607665
350,Tazovsky,RU,67.4667,78.7,-16.17,87,100,15.21,1614607716
351,Inverness,GB,57.4791,-4.224,52.0,57,0,3.44,1614607717
352,Henties Bay,NA,-22.116,14.2845,71.01,81,0,14.0,1614607718
353,Huarmey,PE,-10.0681,-78.1522,76.14,61,53,5.93,1614607720
354,Linxia Chengguanzhen,CN,35.6003,103.2064,35.8,69,0,2.13,1614607721
355,Inta,RU,66.0317,60.1659,18.93,96,100,13.89,1614607722
